Location,Price,Beds,Area
"DHA Defence Phase 2, DHA Defence",11.9 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",17 Crore,7,2 Kanal
"DHA Defence Phase 2, DHA Defence",11.7 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",5 Crore,4,10 Marla
"I-10, Islamabad",3.5 Crore,5,6 Marla
"Naval Anchorage, Islamabad",9.85 Crore,7,1 Kanal
"Tele Garden (T&T ECHS), F-17",2.8 Crore,5,8 Marla
"MPCHS - Block F, MPCHS - Multi Gardens",2.3 Crore,3,5 Marla
"Soan Garden, Islamabad",2.92 Crore,5,6 Marla
"DHA Defence Phase 2, DHA Defence",12.9 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.85 Crore,6,1 Kanal
"I-10, Islamabad",2.2 Crore,3,4 Marla
"I-10, Islamabad",4 Crore,5,6 Marla
"I-10, Islamabad",2.45 Crore,5,4 Marla
"Naval Anchorage, Islamabad",9 Crore,7,1.2 Kanal
"Naval Anchorage, Islamabad",2.5 Crore,4,5 Marla
"I-10, Islamabad",2.45 Crore,5,4 Marla
"G-9, Islamabad",7.75 Crore,5,14 Marla
"G-10, Islamabad",7.7 Crore,4,10 Marla
"PWD Housing Scheme, Islamabad",3.6 Crore,9,10 Marla
"DHA Defence Phase 2, DHA Defence",12.8 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",13.8 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",15.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",7 Crore,6,1 Kanal
"DHA Phase 2 - Sector E, DHA Defence Phase 2",14 Crore,9,1 Kanal
"F-8, Islamabad",31 Crore,4,1.2 Kanal
"DHA Phase 2 - Sector E, DHA Defence Phase 2",14 Crore,8,1 Kanal
"F-7, Islamabad",68 Crore,7,2 Kanal
"Bahria Enclave - Sector A, Bahria Enclave",5 Crore,4,10 Marla
"Malot, Islamabad",1.1 Crore,2,5 Marla
"DHA Phase 2 - Sector E, DHA Defence Phase 2",14.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,5,1 Kanal
"Top City 1, Islamabad",4.75 Crore,6,10 Marla
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"I-14/4, I-14",2.8 Crore,4,5 Marla
